scientificname,decimallongitude,decimallatitude
Liriope tetraphylla,-45.396301,-23.819799
Liriope tetraphylla,-48.715599,-26.251101
Liriope tetraphylla,-47.973099,-25.015499
Liriope tetraphylla,-48.216702,-27.3167
Liriope tetraphylla,-47.912201,-25.058599
Liriope tetraphylla,-45.716702,-24.1
Liriope tetraphylla,-45.420502,-23.828199
Liriope tetraphylla,-48.715599,-26.251101
Liriope tetraphylla,-47.516701,-27.3006
Liriope tetraphylla,-47.766701,-26.75
Liriope tetraphylla,-45.983299,-24.366699
Liriope tetraphylla,-45.412998,-23.837999
Liriope tetraphylla,-44.916698,-25.15
Liriope tetraphylla,-46.75,-27.299999
Liriope tetraphylla,-47.966702,-26.75
Liriope tetraphylla,-43.849998,-27.25
Liriope tetraphylla,-45.423199,-23.829
Liriope tetraphylla,-48.594601,-26.190599
Liriope tetraphylla,-47.0667,-26.75
Liriope tetraphylla,-46.022499,-24.172899
Liriope tetraphylla,-48.333302,-26.75
Liriope tetraphylla,-45.422501,-23.8297
Liriope tetraphylla,-48.6329,-26.2061
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-44.233299,-23.0667
Liriope tetraphylla,-45.422699,-23.8297
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-46.9333,-28.633301
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-47.700001,-26.75
Liriope tetraphylla,-48.216702,-26.75
Liriope tetraphylla,-45.422798,-23.8297
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-47.416698,-27.3167
Liriope tetraphylla,-48.200001,-28.118099
Liriope tetraphylla,-45.400002,-24.85
Liriope tetraphylla,-48.400002,-26.75
Liriope tetraphylla,-47.766701,-26.75
Liriope tetraphylla,-44.233299,-23.0667
Liriope tetraphylla,-48.613499,-26.196899
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-46.0522,-24.25
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-47.133301,-27.2167
Liriope tetraphylla,-43.952,-23.0383
Liriope tetraphylla,-47.918999,-25.0154
Liriope tetraphylla,-42.866699,-25.65
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-47.8167,-26.75
Liriope tetraphylla,-48.669201,-26.248301
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-48.664799,-26.2269
Liriope tetraphylla,-45.423302,-23.8293
Liriope tetraphylla,-48.664799,-26.2269
Liriope tetraphylla,-48.216702,-26.75
Liriope tetraphylla,-48.669201,-26.248301
Liriope tetraphylla,-47.549999,-26.75
Liriope tetraphylla,-45.431198,-23.832701
Liriope tetraphylla,-47.216702,-26.75
Liriope tetraphylla,-44.5,-23.25
Liriope tetraphylla,-48.732899,-26.2428
Liriope tetraphylla,-48.751202,-26.233101
Liriope tetraphylla,-48.75,-28.883301
Liriope tetraphylla,-45.716702,-24.9667
Liriope tetraphylla,-49.049999,-29.133301
Liriope tetraphylla,-47.549999,-26.75
